时间 (s),薄膜厚度 (m),温度 (K)
0.0,0.0,298.15
0.020000000000000007,0.0,380.0
0.040000000000000015,0.0,380.0
0.060000000000000026,0.0,380.0
0.08000000000000003,0.0,380.0
0.10000000000000003,0.0,380.0
0.12000000000000005,0.0,380.0
0.14000000000000004,0.0,380.0
0.16000000000000006,0.0,380.0
0.18000000000000008,0.0,380.0
0.20000000000000007,0.0,380.0
0.22000000000000008,0.0,380.0
0.2400000000000001,0.0,380.0
0.2600000000000001,0.0,380.0
0.2800000000000001,0.0,380.0
0.3000000000000001,0.0,380.0
0.3200000000000001,0.0,380.0
0.34000000000000014,0.0,380.0
0.36000000000000015,0.0,380.0
0.3800000000000001,0.0,380.0
0.40000000000000013,0.0,380.0
0.42000000000000015,0.0,380.0
0.44000000000000017,0.0,380.0
0.4600000000000002,0.0,380.0
0.4800000000000002,0.0,380.0
0.5000000000000002,0.0,380.0
0.5200000000000002,0.0,380.0
0.5400000000000001,0.0,380.0
0.5600000000000002,0.0,380.0
0.5800000000000002,0.0,380.0
0.6000000000000002,0.0,380.0
0.6200000000000002,0.0,380.0
0.6400000000000002,0.0,380.0
0.6600000000000003,0.0,380.0
0.6800000000000003,0.0,380.0
0.7000000000000003,0.0,380.0
0.0,1.8750000000000002e-05,298.15
0.020000000000000007,1.8750000000000002e-05,344.7995894959606
0.040000000000000015,1.8750000000000002e-05,371.0904742759511
0.060000000000000026,1.8750000000000002e-05,365.2295041475007
0.08000000000000003,1.8750000000000002e-05,372.50112443228164
0.10000000000000003,1.8750000000000002e-05,369.81943856754145
0.12000000000000005,1.8750000000000002e-05,373.3934203131415
0.14000000000000004,1.8750000000000002e-05,371.9216678022407
0.16000000000000006,1.8750000000000002e-05,374.0386254941889
0.18000000000000008,1.8750000000000002e-05,373.14547951743924
0.20000000000000007,1.8750000000000002e-05,374.53518078669515
0.22000000000000008,1.8750000000000002e-05,373.9552929836778
0.2400000000000001,1.8750000000000002e-05,374.9319563420091
0.2600000000000001,1.8750000000000002e-05,374.5365888600334
0.2800000000000001,1.8750000000000002e-05,375.2574906736714
0.3000000000000001,1.8750000000000002e-05,374.97805095044527
0.3200000000000001,1.8750000000000002e-05,375.5300897566523
0.34000000000000014,1.8750000000000002e-05,375.3273749959382
0.36000000000000015,1.8750000000000002e-05,375.76220714966666
0.3800000000000001,1.8750000000000002e-05,375.6124880125254
0.40000000000000013,1.8750000000000002e-05,375.9626619723833
0.42000000000000015,1.8750000000000002e-05,375.8508512622056
0.44000000000000017,1.8750000000000002e-05,376.13789028908485
0.4600000000000002,1.8750000000000002e-05,376.05397715411306
0.4800000000000002,1.8750000000000002e-05,376.29270582514073
0.5000000000000002,1.8750000000000002e-05,376.22979855952696
0.5200000000000002,1.8750000000000002e-05,376.4307861853207
0.5400000000000001,1.8750000000000002e-05,376.3839894552109
0.5600000000000002,1.8750000000000002e-05,376.5549942139695
0.5800000000000002,1.8750000000000002e-05,376.52073820813257
0.6000000000000002,1.8750000000000002e-05,376.6675955147893
